gloss_en,freq,proper_usage,proper_count,nonproper_count,suggested_ko,notes
and,51005,no,0,51005,그리고/및/와,접속사; 문맥에 따라 와/과/및
the,30387,no,0,30387,(생략),정관사; 한국어에서 보통 생략
to,25972,no,0,25972,~로/에게/…하려고,전치사/부정사 표지; 문맥 의존
in,15779,no,0,15779,~안에,전치사
<object marker>,10988,no,0,10988,(을/를),목적격 표지 אֵת; 한국어에서 조사를 통해 표현
from,7683,no,0,7683,~에서/로부터,전치사
YHWH,6829,yes,6829,0,여호와,하나님 고유명; 표기 확인 [여호와/야훼]; 정규화 적용
not,6059,no,0,6059,~아니/않다,부정 표지
<relative>,6002,no,0,6002,…하는/…인,관계사/종속절 표지 אֲשֶׁר
upon,5872,no,0,5872,~위에,전치사
whole,5497,no,0,5497,전체/온전한,
say,5380,no,0,5380,말하다,
son,4977,no,0,4977,아들,
that,4503,no,0,4503,…라는/…것,접속사; 한국어에서 흔히 생략
be,3634,no,0,3634,이다/되다/있다,계사; 한국어 생략 잦음
as,2903,no,0,2903,…처럼/…같이,비교/양태 표지
king,2705,no,0,2705,왕,
make,2688,no,0,2688,만들다/행하다,
come,2619,no,0,2619,오다,
god(s),2602,no,0,2602,신/신들,문맥에 따라 단/복수
earth,2529,no,0,2529,땅,정규화 적용
Israel,2516,yes,2516,0,이스라엘,고유명사
people,2471,no,0,2471,백성,문맥에 따라 백성 권장; 정규화 적용
day,2322,no,0,2322,날,정규화 적용
man,2275,no,0,2275,사람,문맥에 따라 남자/사람
face,2131,no,0,2131,앞,“~앞에서” 용례 빈번; 정규화 적용
house,2109,no,0,2109,집,문맥에 따라 성전/가문
give,2083,no,0,2083,주다,
this,1864,no,0,1864,이,정규화 적용
hand,1637,no,0,1637,손,
word,1609,no,0,1609,말씀,기본값: 말씀; 일반 문맥은 말; 정규화 적용
walk,1559,no,0,1559,걷다/행하다,히브리어 הָלַךְ; “행하다” 용례도 있음
he,1411,no,0,1411,그/그는,3인칭 남성 단수; 한국어에선 종종 생략
see,1386,no,0,1386,보다,
unto,1264,no,0,1264,…에게/…까지,전치사(고어체 느낌)
i,1235,no,0,1235,나/나는,1인칭 단수; 한국어에선 종종 생략
father,1228,no,0,1228,아버지,
thus,1178,no,0,1178,이와 같이/이렇게,
behold,1178,no,0,1178,보라,감탄·호격적 표지
hear,1170,no,0,1170,듣다,
speak,1147,no,0,1147,말하다,
town,1128,no,0,1128,성읍,
you,1115,no,0,1115,너/당신,2인칭; 단/복수·공손 구분 문맥 의존
go out,1108,no,0,1108,나가다,
if,1091,no,0,1091,만일,조건 접속사
sit,1089,no,0,1089,앉다,
David,1076,yes,1076,0,다윗,고유명사
with,1075,no,0,1075,…와 함께,전치사
return,1060,no,0,1060,돌아오다/돌리다,문맥에 따라 귀환/반환
know,1011,no,0,1011,알다,
one,986,no,0,986,하나,
take,984,no,0,984,취하다/잡다,
even,904,no,0,904,…조차/…까지,강조/범위 확대
ascend,899,no,0,899,올라가다,
eye,894,no,0,894,눈,
year,885,no,0,885,해/년,
together with,879,no,0,879,함께/…와 함께,
name,878,no,0,878,이름,
heart,865,no,0,865,마음,
send,863,no,0,863,보내다,
there,840,no,0,840,거기/그곳,
eat,838,no,0,838,먹다,
die,836,no,0,836,죽다,
Judah,820,yes,820,0,유다,고유명사
servant,809,no,0,809,종,
<NEG>,789,no,0,789,(부정 표지),"주로 לֹא,אַל 등"
woman,782,no,0,782,여자/여인,
these,782,no,0,782,이들,
two,774,no,0,774,둘,수사
Moses,769,yes,769,0,모세,고유명사
way,760,no,0,760,길/길들,
priest,760,no,0,760,제사장,
soul,755,no,0,755,영혼/생명,נֶפֶשׁ; 문맥에 따라 생명
<interrogative>,751,no,0,751,(의문 표지),의문사/표지
call,745,no,0,745,부르다/칭하다,
after,724,no,0,724,…후에/뒤에,
chief,713,no,0,713,우두머리/수령,
justice,701,no,0,701,공의,성경 용례상 “공의” 선호
Egypt,689,yes,689,0,이집트,고유명사; 표기 확정: 이집트; 정규화 적용
stand,684,no,0,684,서다,
put,672,no,0,672,두다/놓다,
Jerusalem,671,yes,671,0,예루살렘,고유명사
<uncertain>,667,mixed,2,665,(불확실),의미/용례 불확실; 문맥
cattle,665,no,0,665,가축,
evil,662,no,0,662,악/악한,
lift,654,no,0,654,들어 올리다,
brother,632,no,0,632,형제,
they,631,no,0,631,그들,3인칭 복수
arise,630,no,0,630,일어나다/일어서다,
three,615,no,0,615,셋,수사
head,615,no,0,615,머리/우두머리,
what,591,no,0,591,무엇,
hundred,589,no,0,589,백,수사
daughter,589,no,0,589,딸,
water,583,no,0,583,물,
mountain,562,no,0,562,산,
great,559,no,0,559,크다/위대하다,
"human, mankind",554,no,0,554,인류,총칭
pass,549,no,0,549,지나가다,
sin,542,no,0,542,죄,
miss,542,no,0,542,빗나가다,חָטָא 어원; “죄 범하다”와 연관
be strong,542,no,0,542,강하다/강건하다,
strike,520,no,0,520,치다/때리다,
bear,518,no,0,518,낳다,문맥에 따라 “나르다/지다” 가능
sound,513,no,0,513,소리,
five,507,no,0,507,다섯,수사
under part,506,no,0,506,아래쪽/밑부분,
mouth,506,no,0,506,입,
thousand,498,no,0,498,천,수사
seven,498,no,0,498,일곱,수사
command,495,no,0,495,명령,
she,494,no,0,494,그녀/그녀는,3인칭 여성 단수; 한국어에선 종종 생략
duration,491,no,0,491,기간/지속,
service,489,no,0,489,섬김/봉사,
place,478,no,0,478,곳/장소,
keep,474,no,0,474,지키다,
good,473,no,0,473,좋다/선하다,
find,473,no,0,473,찾다/발견하다,
holiness,470,no,0,470,거룩함,
four,464,no,0,464,넷,수사
eternity,460,no,0,460,영원,
now,454,no,0,454,이제,
fall,451,no,0,451,떨어지다/넘어지다,
turn,443,no,0,443,돌이키다/돌다,
much,439,no,0,439,많다/많이,
Lord,439,yes,439,0,주,하나님 칭호(Adonai); 대문자 구별
who,435,no,0,435,누구/…하는 자,의문/관계 대명사
gold,431,no,0,431,금,
approach,423,no,0,423,가까이 가다,
heavens,422,no,0,422,하늘,
midst,419,no,0,419,한가운데,
silver,418,no,0,418,은,
dagger,415,no,0,415,단검,
build,413,no,0,413,짓다/건축하다,
god,411,no,0,411,신,일반 신; 하나님과 구분
interval,408,no,0,408,사이/간격,
Saul,407,yes,407,0,사울,고유명사
report,406,no,0,406,보고/소식,
yeah,405,no,0,405,정녕/참으로,강조 부사/감탄
altar,404,no,0,404,제단,
sea,400,no,0,400,바다,
fire,399,no,0,399,불,
fear,397,no,0,397,두려워하다,
wind,391,no,0,391,바람,"רוּחַ; 기본값: 바람,문맥에 따라 영(Spirit); 정규화 적용"
descend,390,no,0,390,내려가다,
be complete,388,no,0,388,완전하다/끝나다,
speech,377,no,0,377,말/언어,
end,376,no,0,376,끝,
gate,375,no,0,375,성문,
foot,375,no,0,375,발,
lord,366,no,0,366,주인/주,일반 호칭; 신적 칭호와 구분
blood,361,no,0,361,피,
pasture,355,no,0,355,초장/초지,
answer,355,no,0,355,대답하다,
cut,353,no,0,353,자르다/베다,
work,352,no,0,352,일/일하다,행위/노동 문맥 구분
help,352,no,0,352,돕다,
Jacob,350,yes,350,0,야곱,고유명사
cover,349,no,0,349,덮다,
be king,348,no,0,348,왕이 되다,
Aaron,348,yes,348,0,아론,고유명사
tent,346,no,0,346,장막/천막,
power,345,no,0,345,능력/힘,
surrounding,342,no,0,342,둘레/주변,
break,342,no,0,342,부수다/깨뜨리다,
tree,340,no,0,340,나무,
praise,340,no,0,340,찬양/찬송,
-teen,339,no,0,339,열- (~teen),합성 수사 접미; 예: 열셋
open field,337,no,0,337,들판,
boy,335,no,0,335,소년/아이,
desert,333,no,0,333,광야,
bless,333,no,0,333,복 주다/축복하다,
tool,328,no,0,328,도구,
deed,325,no,0,325,행위,
time,324,no,0,324,때,
war,323,no,0,323,전쟁,
stone,323,no,0,323,돌,
be firm,323,no,0,323,굳건하다/견고하다,
turn aside,322,no,0,322,벗어나다/비켜가다,
prophet,321,no,0,321,선지자,예언자와 동의; 전통 표기 선지자
or,321,no,0,321,또는/혹은,접속사
twenty,318,no,0,318,스물,수사
bread,314,no,0,314,떡,
might,313,no,0,313,힘/능력,
clan,313,no,0,313,씨족,
be hostile,313,no,0,313,적대하다,
month,301,no,0,301,달/월,
Levite,298,no,0,298,레위인,
Solomon,294,yes,294,0,솔로몬,고유명사
gather,293,no,0,293,모으다,
be full,293,no,0,293,가득하다,
"work, serve",289,no,0,289,일하다/섬기다,עבד; 문맥에 따라 섬기다/봉사하다
Philistine,289,no,0,289,블레셋 사람,민족명; 블레셋인
burnt-offering,287,no,0,287,번제,
covenant,285,no,0,285,언약,
be alive,284,no,0,284,살아 있다,
six,278,no,0,278,여섯,수사
nose,278,no,0,278,코,אף; 분노 의미로도 쓰임
pharaoh,275,no,0,275,파라오,이집트 왕 칭호; 표기 확정: 파라오; 정규화 적용
flesh,275,no,0,275,육체/살,
because of,273,no,0,273,~때문에/…으로 말미암아,
present,272,no,0,272,바치다/제시하다,제물 바치다 문맥 가능
only,272,no,0,272,오직/다만,
guilty,269,no,0,269,죄 있다/유죄,
love,266,no,0,266,사랑하다/사랑,
Babel,263,yes,263,0,바벨,고유명사 음역/관습 표기 확인
seize,261,no,0,261,붙잡다/취하다,
rejoice,259,no,0,259,기뻐하다,
staff,258,no,0,258,지팡이,
be high,258,no,0,258,높다/높아지다,
like,257,no,0,257,…처럼/같이,
cubit,255,no,0,255,규빗,
weight,253,no,0,253,무게/저울추,
hide,253,no,0,253,숨기다/숨다,
drink,253,no,0,253,마시다,
why,252,no,0,252,왜/어찌,
boundary,252,no,0,252,경계,
remain,251,no,0,251,남다/머무르다,
slaughter,249,no,0,249,도살하다/잡아죽이다,
lie down,249,no,0,249,눕다,
loyalty,246,no,0,246,인애/신실함,חסד
wall,244,no,0,244,성벽/벽,
destroy,243,no,0,243,멸하다/파괴하다,
interior,242,no,0,242,안쪽/속,
write,241,no,0,241,쓰다,
night,241,no,0,241,밤,
judge,240,no,0,240,재판하다/판단하다,
garment,240,no,0,240,옷/의복,
alive,240,no,0,240,살아있는,
seek,239,no,0,239,찾다/구하다,
peace,238,no,0,238,평강/평화,shalom
burn,235,no,0,235,불태우다/태우다,
strength,233,no,0,233,힘/세력,
cry,233,no,0,233,울다/부르짖다,
trample down,232,no,0,232,짓밟다,
seed,232,no,0,232,씨/자손,문맥 의존
remember,232,no,0,232,기억하다,
soil,230,no,0,230,흙/토양,
ark,230,no,0,230,궤/언약궤,문맥에 따라 방주/언약궤
kill,228,no,0,228,죽이다,
"linen, part, stave",226,no,0,226,아마포/부분/막대기,다의어; 문맥 의존
heritage,225,no,0,225,기업/유산,
dwell,225,no,0,225,거주하다/살다,
be many,225,no,0,225,많다/번성하다,
appointment,224,no,0,224,정한 때,מוֹעֵד
mother,221,no,0,221,어머니,
messenger,221,no,0,221,사자/천사,문맥 의존
leave,221,no,0,221,떠나다/남기다,
instruction,221,no,0,221,교훈/율법,torah
then,220,no,0,220,그때/그런즉,
pour,219,no,0,219,붓다/쏟다,
oil,219,no,0,219,기름,
Joshua,219,yes,219,0,여호수아,고유명사
deliver,218,no,0,218,구원하다/건져내다,
Joseph,216,yes,216,0,요셉,고유명사
morning,215,no,0,215,아침,
extend,215,no,0,215,펼치다/늘이다,
camp,215,no,0,215,진/진영,
add,215,no,0,215,더하다,
rod,212,no,0,212,막대기,
be able,212,no,0,212,능하다/…할 수 있다,
examine,209,no,0,209,조사하다/살피다,
therefore,208,no,0,208,그러므로/그런즉,
just,207,no,0,207,의로운/공정한,
fellow,205,no,0,205,동료/이웃,
letter,204,no,0,204,편지/서신,
gathering,204,no,0,204,모임/회중,
chariot,198,no,0,198,병거,
court,197,no,0,197,뜰/법정,성전 맥락: 뜰
palm,196,no,0,196,종려나무,
second,195,no,0,195,둘째/두 번째,
perish,195,no,0,195,멸망하다,
old,195,no,0,195,늙은/오래된,
curse,194,no,0,194,저주/저주하다,
bow down,193,no,0,193,절하다/엎드리다,
swear,192,no,0,192,맹세하다,
flee,192,no,0,192,도망하다,
wine,190,no,0,190,포도주,
uncover,189,no,0,189,벗기다/드러내다,
first,189,no,0,189,첫째/처음,
ear,188,no,0,188,귀,곡식 이삭 문맥 가능
kingdom,187,no,0,187,왕국/나라,
ten,185,no,0,185,열,
desire,185,no,0,185,갈망/원하다,
open,184,no,0,184,열다,
Jordan,183,yes,183,0,요단,고유명사
seat,182,no,0,182,자리/좌석,
fight,182,no,0,182,싸우다,
commandment,182,no,0,182,계명,
Moab,181,yes,181,0,모압,고유명사
Ephraim,181,yes,181,0,에브라임,고유명사
trust,180,no,0,180,의지하다/신뢰하다,
destruction,179,no,0,179,파멸/파괴,
ask,179,no,0,179,묻다/요청하다,
lip,177,no,0,177,입술,
side,176,no,0,176,옆/쪽/편,
Abraham,176,yes,176,0,아브라함,고유명사
stream,175,no,0,175,시냇물/개울,
opening,174,no,0,174,입구/열림,
generation,172,no,0,172,세대/대,
be holy,172,no,0,172,거룩하다,
understand,171,no,0,171,깨닫다/이해하다,
inquire,171,no,0,171,묻다/문의하다,
multitude,170,no,0,170,무리/다수,
death,170,no,0,170,죽음,
sacrifice,169,no,0,169,제사/희생제물,
high place,169,no,0,169,산당,
other,167,no,0,167,다른/타자,
Benjamin,167,yes,167,0,베냐민,고유명사
be good,167,no,0,167,좋다/선하다,
darkness,166,no,0,166,어둠,
portion,165,no,0,165,분깃/몫,
outside,165,no,0,165,밖/바깥,
"lord, baal",165,no,0,165,바알/주인,다의어; 고유/일반 문맥 의존
lie,165,no,0,165,거짓말하다,“눕다”는 lie down
dust,165,no,0,165,티끌/먼지,
be unclean,165,no,0,165,부정하다,
wisdom,164,no,0,164,지혜,
rest,164,no,0,164,쉬다/쉼,
"ram, despot",164,no,0,164,숫양/권력자,다의어; 문맥 의존
horn,164,no,0,164,뿔,
escape,164,no,0,164,피하다/도망치다,
blow,164,no,0,164,불다,타격 문맥 가능
wickedness,163,no,0,163,악/악행,
life,163,no,0,163,생명/삶,
existence,161,no,0,161,존재,
vigorous,160,no,0,160,강건한/힘센,
heat,156,no,0,156,열기/열,
Zion,155,yes,155,0,시온,고유명사
south,155,no,0,155,남쪽,네게브 문맥 가능
wise,154,no,0,154,지혜로운,
touch,154,no,0,154,만지다,
smoke,154,no,0,154,연기,
be clean,154,no,0,154,깨끗하다,
north,153,no,0,153,북쪽,
bronze,153,no,0,153,놋,성경 전통 표기: 놋; 정규화 적용
sing,152,no,0,152,노래하다/찬송하다,
counterpart,152,no,0,152,짝/상대,
Asshur,152,yes,152,0,앗수르,고유명사
Aram,150,yes,150,0,아람,고유명사
valley,149,no,0,149,골짜기,
pull out,149,no,0,149,뽑다/끌어내다,
pillar,149,no,0,149,기둥,
light,149,no,0,149,빛,
Jeremiah,149,yes,149,0,예레미야,고유명사
hate,149,no,0,149,미워하다,
half,148,no,0,148,절반/반,
eight,148,no,0,148,여덟,
Manasseh,147,yes,147,0,므낫세,고유명사
throw,146,no,0,146,던지다,
Joab,146,yes,146,0,요압,고유명사
pursue,144,no,0,144,추격하다,
encamp,144,no,0,144,진치다/야영하다,
count,144,no,0,144,세다/계수하다,
assembly,143,no,0,143,회중,정규화 적용
settle,142,no,0,142,정착하다/해결하다,
top,141,no,0,141,꼭대기/정상,
sun,141,no,0,141,해/태양,
Samuel,141,yes,141,0,사무엘,고유명사
height,141,no,0,141,높이/고지,
encounter,141,no,0,141,만나다,
wadi,140,no,0,140,와디,건천
right-hand side,140,no,0,140,오른편,정규화 적용
dwelling-place,140,no,0,140,거처/거주지,
collect,140,no,0,140,모으다/수집하다,
serve,139,no,0,139,섬기다/봉사하다,
rock,139,no,0,139,바위/반석,
horse,139,no,0,139,말,
beginning,139,no,0,139,시작/태초,
little,138,no,0,138,적은/작은,
complete,138,no,0,138,완전하다/완성하다,
number,137,no,0,137,수/수효,
first-born,137,no,0,137,장자/맏아들,
defile,137,no,0,137,더럽히다,
be hot,137,no,0,137,뜨겁다/덥다,
here,136,no,0,136,여기,
rebellion,135,no,0,135,반역/반란,
